                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.61479,                0.29558,                0.96612,                 0.9984,                0.99721,                0.99497,                0.92558,                0.41032,                0.18867,                0.83734,              0.0034165,              0.0034165,              0.0034165
                    135,                 0.6119,                0.29458,                0.96517,                 0.9988,                0.99721,                  0.995,                0.92682,                0.40601,                0.18513,                0.83579,               0.003367,               0.003367,               0.003367
                    136,                0.62247,                0.29462,                0.96242,                0.99882,                0.99721,                  0.995,                0.92613,                 0.4081,                  0.185,                0.83653,              0.0033175,              0.0033175,              0.0033175
                    137,                0.60259,                0.29026,                0.95282,                0.99958,                0.99628,                  0.995,                0.93013,                0.39889,                0.18056,                0.83603,               0.003268,               0.003268,               0.003268
                    138,                0.60549,                0.29397,                0.95442,                0.99992,                0.99628,                  0.995,                0.92637,                0.40046,                 0.1798,                0.83612,              0.0032185,              0.0032185,              0.0032185
                    139,                0.60425,                0.28848,                0.95764,                0.99979,                0.99534,                  0.995,                0.92717,                0.40228,                0.18218,                0.83677,               0.003169,               0.003169,               0.003169
                    140,                 0.6012,                0.28648,                0.95763,                0.99814,                0.99682,                  0.995,                0.92582,                0.40175,                0.18125,                0.83785,              0.0031195,              0.0031195,              0.0031195
                    141,                0.59653,                0.28392,                0.95531,                0.99754,                0.99721,                  0.995,                0.92946,                0.40117,                0.18349,                0.83667,                0.00307,                0.00307,                0.00307
                    142,                0.60434,                   0.29,                0.95769,                0.99892,                0.99534,                0.99499,                0.92717,                0.40367,                0.18584,                0.83638,              0.0030205,              0.0030205,              0.0030205
                    143,                0.60096,                0.28994,                0.95785,                0.99967,                0.99534,                  0.995,                0.92674,                0.40661,                0.18522,                0.83784,               0.002971,               0.002971,               0.002971
                    144,                0.60042,                 0.2866,                0.95518,                0.99891,                0.99721,                0.99493,                0.92801,                0.40285,                0.18101,                0.83626,              0.0029215,              0.0029215,              0.0029215
                    145,                0.60582,                0.28919,                0.96419,                0.99797,                0.99721,                0.99493,                0.92727,                0.40163,                0.17878,                0.83551,               0.002872,               0.002872,               0.002872
                    146,                0.59318,                0.28511,                0.95006,                0.99886,                0.99721,                  0.995,                0.92906,                0.40223,                0.17787,                0.83561,              0.0028225,              0.0028225,              0.0028225
                    147,                0.59106,                0.28515,                0.95278,                0.99923,                0.99534,                  0.995,                0.92966,                0.40145,                0.17909,                0.83508,               0.002773,               0.002773,               0.002773
                    148,                0.60312,                0.28889,                0.96153,                0.99824,                0.99628,                0.99498,                0.93162,                0.40101,                0.17886,                0.83498,              0.0027235,              0.0027235,              0.0027235
                    149,                0.59861,                0.28023,                0.95399,                 0.9979,                0.99721,                0.99499,                0.92923,                 0.3997,                0.17814,                0.83506,               0.002674,               0.002674,               0.002674
                    150,                0.58456,                0.27807,                0.95719,                0.99872,                0.99721,                0.99498,                0.92934,                0.40227,                0.17684,                0.83585,              0.0026245,              0.0026245,              0.0026245
                    151,                0.58165,                0.27598,                0.94473,                0.99879,                0.99721,                0.99497,                0.93016,                0.40483,                0.17608,                0.83642,               0.002575,               0.002575,               0.002575
                    152,                 0.5879,                0.28127,                0.95088,                0.99814,                0.99802,                  0.995,                0.92986,                0.40205,                0.17462,                0.83501,              0.0025255,              0.0025255,              0.0025255
